"metric","javafx","jxparallel"
"exit_code","0","0"
"wall_ms","4944.3","4026.3"
"peak_working_set_bytes","334962688","413712384"
"peak_private_bytes","482430976","561111040"
"screens","20","20"
"processors","12","12"
"toolkit_start_ns","415430600","864520200"
"pass1_total_ns","1162581400","724878000"
"pass1_first_screen_ns","371383500","535974700"
"pass1_cpu_ns","3703125000","4781250000"
"pass1_allocated_bytes","246038808","254804368"
"pass1_initialized_screens","20","20"
"pass2_total_ns","791368700","222917700"
"pass2_first_screen_ns","28149900","71509800"
"pass2_cpu_ns","2359375000","2109375000"
"pass2_allocated_bytes","225430056","225792720"
"pass2_initialized_screens","20","20"
"pass3_total_ns","665214300","194313700"
"pass3_first_screen_ns","30407100","71862000"
"pass3_cpu_ns","1984375000","1859375000"
"pass3_allocated_bytes","223875712","225429160"
"pass3_initialized_screens","20","20"
"gc_count","6","6"
"gc_time_ms","30","36"
"heap_peak_bytes","157527408","200821792"
"heap_committed_peak_bytes","264241152","335544320"
"nonheap_peak_bytes","22027864","22022656"
"direct_peak_bytes","0","8192"
"allocated_total_bytes","712733032","724013744"
"process_cpu_total_ns","8968750000","9906250000"
"classes_loaded","2711","3140"
"thread_count","12","20"
"thread_peak","12","20"
"heap_live_after_gc_bytes","5706016","6125536"
"cache_hits",,"40"
"cache_misses",,"20"
