"implementation","run","exit_code","wall_ms","peak_working_set_bytes","peak_private_bytes","screens","processors","toolkit_start_ns","pass1_total_ns","pass1_first_screen_ns","pass1_cpu_ns","pass1_allocated_bytes","pass1_initialized_screens","pass2_total_ns","pass2_first_screen_ns","pass2_cpu_ns","pass2_allocated_bytes","pass2_initialized_screens","pass3_total_ns","pass3_first_screen_ns","pass3_cpu_ns","pass3_allocated_bytes","pass3_initialized_screens","gc_count","gc_time_ms","heap_peak_bytes","heap_committed_peak_bytes","nonheap_peak_bytes","direct_peak_bytes","allocated_total_bytes","process_cpu_total_ns","classes_loaded","thread_count","thread_peak","heap_live_after_gc_bytes","cache_hits","cache_misses"
"javafx","1","0","5102.8","332312576","496709632","20","12","415430600","1436727700","489952700","3968750000","245458464","20","850810100","26619400","2562500000","224637024","20","665214300","40273900","1562500000","223425312","20","6","30","157527408","264241152","22048456","0","710840912","9171875000","2710","12","12","5741368",,
"jxparallel","1","0","4056.5","413712384","552284160","20","12","868823600","690666600","489149200","4671875000","254804368","20","216212500","76870500","2015625000","225165016","20","193477900","61738500","1859375000","224981472","20","6","37","198498080","343932928","21995776","8192","722665104","9484375000","3140","20","20","6124448","40","20"
"javafx","2","0","5150.9","342351872","478765056","20","12","392215700","1237680300","433046300","3703125000","245966792","20","791368700","30164700","2359375000","225135424","20","769581400","38561300","1265625000","223732280","20","6","36","167255040","264241152","22027864","0","712146400","8265625000","2711","12","12","5704280",,
"jxparallel","2","0","3335.2","427433984","579170304","20","12","362011400","797054200","566716100","5828125000","255333264","20","240271100","66382000","2359375000","225868280","20","194313700","74233700","1765625000","225429160","20","6","36","208866120","335544320","22313232","8192","724266008","11062500000","3129","20","20","6112256","40","20"
"javafx","3","0","4944.3","334962688","481157120","20","12","813705500","1141115300","340430100","3687500000","246123712","20","813535100","34919200","2953125000","225650504","20","624262400","30407100","2015625000","224271840","20","6","32","157498304","264241152","22039728","0","713422024","9625000000","2710","12","12","5730696",,
"jxparallel","3","0","3941.4","422928384","561111040","20","12","863018500","773296400","551686200","5250000000","255204752","20","239574000","71509800","2421875000","225792720","20","214256400","75001200","1859375000","225439896","20","6","36","200821792","337641472","22096088","8192","724147344","10687500000","3120","20","20","6158216","40","20"
"javafx","4","0","4091.8","335458304","482430976","20","12","355084300","1162581400","371383500","3828125000","246080664","20","531150900","28149900","1750000000","226256104","20","674705500","28171500","2281250000","225973592","20","6","30","157722744","264241152","21900064","0","715613664","8968750000","2711","12","12","5701616",,
"jxparallel","4","0","4170.2","411144192","569061376","20","12","883504700","724878000","535974700","4578125000","254638856","20","222917700","68351500","2031250000","225912096","20","190817700","71862000","1843750000","225741296","20","6","36","202964672","335544320","21921472","8192","724013744","9515625000","3149","20","20","6288024","40","20"
"javafx","5","0","4579.7","333488128","494804992","20","12","858080900","1140420400","351817600","3562500000","246038808","20","653008500","26160000","2000000000","225430056","20","619925800","24468600","1984375000","223875712","20","6","29","155401312","264241152","21842928","0","712733032","8593750000","2711","12","12","5706016",,
"jxparallel","5","0","4026.3","378699776","531353600","20","12","864520200","719638400","520923600","4781250000","254377592","20","212958700","74033300","2109375000","225164816","20","194588500","69680500","1953125000","224979216","20","6","31","165294064","325058560","22022656","8192","722233656","9906250000","3140","20","20","6125536","40","20"
