"metric","javafx","jxparallel-fxmlloader","jxparallel"
"exit_code","0","0","0"
"wall_ms","4762.7","3439.5","2578.4"
"peak_working_set_bytes","346112000","431882240","338194432"
"peak_private_bytes","497008640","568770560","488378368"
"screens","20","20","20"
"processors","12","12","12"
"toolkit_start_ns","451550000","455818800","453604100"
"pass1_total_ns","1467473600","818257900","537902200"
"pass1_first_screen_ns","477578000","457291000","320998400"
"pass1_cpu_ns","4421875000","4765625000","2625000000"
"pass1_allocated_bytes","245439160","248152072","318710272"
"pass1_initialized_screens","20","20","20"
"pass1_nodes","2300","2300","2300"
"pass1_spinner_value_sum","4320","4320","4320"
"pass1_grid_row_index_sum","12600","12600","12600"
"pass2_total_ns","736587600","316211000","56697600"
"pass2_first_screen_ns","30890700","53150500","9457700"
"pass2_cpu_ns","2343750000","2218750000","609375000"
"pass2_allocated_bytes","224899216","225298280","9857088"
"pass2_initialized_screens","20","20","20"
"pass2_nodes","2300","2300","2300"
"pass2_spinner_value_sum","4320","4320","4320"
"pass2_grid_row_index_sum","12600","12600","12600"
"pass3_total_ns","691640700","258191200","31110100"
"pass3_first_screen_ns","40665800","36300000","7830100"
"pass3_cpu_ns","2281250000","1953125000","296875000"
"pass3_allocated_bytes","223474600","224995168","9846920"
"pass3_initialized_screens","20","20","20"
"pass3_nodes","2300","2300","2300"
"pass3_spinner_value_sum","4320","4320","4320"
"pass3_grid_row_index_sum","12600","12600","12600"
"gc_count","6","6","4"
"gc_time_ms","38","41","29"
"heap_peak_bytes","165264896","162873408","157527712"
"heap_committed_peak_bytes","264241152","352321536","264241152"
"nonheap_peak_bytes","22077328","21454720","18745936"
"direct_peak_bytes","0","8192","8192"
"allocated_total_bytes","711216296","716240976","356174960"
"process_cpu_total_ns","10093750000","10437500000","5140625000"
"classes_loaded","2713","2774","2739"
"thread_count","12","20","20"
"thread_peak","12","20","20"
"heap_live_after_gc_bytes","5717320","6063216","7248312"
"cache_hits",,"40","40"
"cache_misses",,"20","20"
"templates_cached",,"0","20"
