"implementation","run","exit_code","wall_ms","peak_working_set_bytes","peak_private_bytes","screens","processors","toolkit_start_ns","pass1_total_ns","pass1_first_screen_ns","pass1_cpu_ns","pass1_allocated_bytes","pass1_initialized_screens","pass1_nodes","pass1_spinner_value_sum","pass1_grid_row_index_sum","pass2_total_ns","pass2_first_screen_ns","pass2_cpu_ns","pass2_allocated_bytes","pass2_initialized_screens","pass2_nodes","pass2_spinner_value_sum","pass2_grid_row_index_sum","pass3_total_ns","pass3_first_screen_ns","pass3_cpu_ns","pass3_allocated_bytes","pass3_initialized_screens","pass3_nodes","pass3_spinner_value_sum","pass3_grid_row_index_sum","gc_count","gc_time_ms","heap_peak_bytes","heap_committed_peak_bytes","nonheap_peak_bytes","direct_peak_bytes","allocated_total_bytes","process_cpu_total_ns","classes_loaded","thread_count","thread_peak","heap_live_after_gc_bytes","cache_hits","cache_misses","templates_cached"
"javafx","1","0","4850.3","339550208","497008640","20","12","409304400","1536819800","507236100","4421875000","245210408","20","2300","4320","12600","738378500","28008900","2593750000","224778384","20","2300","4320","12600","814973500","40665800","2281250000","223515760","20","2300","4320","12600","6","35","155652520","264241152","22077328","0","710903224","10406250000","2714","12","12","5722048",,,
"jxparallel-fxmlloader","1","0","3218.6","438415360","580587520","20","12","528358700","790333300","397871300","4468750000","248175576","20","2300","4320","12600","283810300","53150500","2140625000","225298280","20","2300","4320","12600","236147900","31242700","1953125000","224995168","20","2300","4320","12600","6","41","166119888","362807296","21326808","8192","716240976","10265625000","2774","20","20","6063624","40","20","0"
"jxparallel","1","0","2602.8","354430976","497209344","20","12","484418400","538950700","326880800","2609375000","318687576","20","2300","4320","12600","56697600","7909800","609375000","9856856","20","2300","4320","12600","33838700","9608700","296875000","9846640","20","2300","4320","12600","4","28","155481688","264241152","18750392","8192","356148408","5140625000","2743","20","20","7249408","40","20","20"
"javafx","2","0","4626.4","396529664","535703552","20","12","451550000","1340055600","453158000","4234375000","245439160","20","2300","4320","12600","695162300","30890700","2390625000","224899216","20","2300","4320","12600","592689600","43548500","1843750000","223474600","20","2300","4320","12600","6","43","166827136","318767104","21867992","0","711216296","9890625000","2713","12","12","5701120",,,
"jxparallel-fxmlloader","2","0","3439.5","431882240","568770560","20","12","437838100","780333800","437621200","4765625000","248289344","20","2300","4320","12600","328922500","92263800","2218750000","225745496","20","2300","4320","12600","217211900","33489600","1875000000","225430528","20","2300","4320","12600","6","40","164882912","339738624","21369104","8192","717223640","10406250000","2774","20","20","6059704","40","20","0"
"jxparallel","2","0","2578.4","328310784","488927232","20","12","453604100","534091400","326369700","2625000000","318828280","20","2300","4320","12600","62827200","15359200","531250000","9858552","20","2300","4320","12600","26648400","7830100","218750000","9846920","20","2300","4320","12600","4","32","155622528","264241152","18697376","8192","356297632","4984375000","2738","20","20","7243312","40","20","20"
"javafx","3","0","4762.7","400863232","543694848","20","12","459928800","1467473600","477578000","4703125000","245333848","20","2300","4320","12600","751477900","43535000","2296875000","224574976","20","2300","4320","12600","605603400","30357700","1781250000","223470472","20","2300","4320","12600","6","38","165264896","318767104","21970160","0","710782512","10093750000","2714","12","12","5703384",,,
"jxparallel-fxmlloader","3","0","3200.7","427667456","566411264","20","12","402861000","818257900","457291000","4750000000","248152072","20","2300","4320","12600","286539000","45762100","2187500000","225948032","20","2300","4320","12600","263274400","39207400","2046875000","225741936","20","2300","4320","12600","6","41","157954368","352321536","21454720","8192","717592592","10437500000","2775","20","20","6063216","40","20","0"
"jxparallel","3","0","2475.3","339750912","488378368","20","12","444790900","511072500","320704400","2531250000","318802280","20","2300","4320","12600","46022900","6348400","531250000","9855128","20","2300","4320","12600","36776200","16695500","312500000","9848976","20","2300","4320","12600","4","27","157527712","264241152","18648384","8192","356268576","5031250000","2742","20","20","7247288","40","20","20"
"javafx","4","0","4716.6","346112000","482369536","20","12","415075800","1424811500","427299000","4093750000","245499648","20","2300","4320","12600","695559200","29758500","2156250000","225161336","20","2300","4320","12600","740804700","43061500","2468750000","223457728","20","2300","4320","12600","6","41","166544960","264241152","22153312","0","711515552","9843750000","2713","12","12","5804416",,,
"jxparallel-fxmlloader","4","0","3727.2","441589760","580952064","20","12","468324900","951430500","517704800","4875000000","247460856","20","2300","4320","12600","316211000","47152300","2562500000","225081880","20","2300","4320","12600","305613800","44601400","2343750000","224942144","20","2300","4320","12600","6","46","162873408","356515840","21654728","8192","715248840","11484375000","2778","20","20","6070056","40","20","0"
"jxparallel","4","0","2647.2","338194432","481140736","20","12","479031500","543898200","320998400","2640625000","318710272","20","2300","4320","12600","54354300","9457700","687500000","9857088","20","2300","4320","12600","31110100","6656300","281250000","9844408","20","2300","4320","12600","4","29","157683608","264241152","18745936","8192","356174960","5171875000","2739","20","20","7285392","40","20","20"
