"implementation","run","startup_ms","response_ms","heap_delta_bytes","process_cpu_ms","thread_delta"
"traditional","1","237,8327","51,35","2297568","343,75","1"
"traditional","2","240,8744","51,545","2328784","359,375","1"
"traditional","3","242,1288","51,337","2321280","328,125","1"
"traditional","4","242,7422","51,119","2261400","312,5","1"
"traditional","5","237,8296","50,32","2338704","296,875","1"
"jxparallel","1","273,4487","55,699","1301976","359,375","1"
"jxparallel","2","269,6435","54,047","1205248","343,75","1"
"jxparallel","3","258,1719","53,953","1234728","390,625","1"
"jxparallel","4","271,8286","55,322","1270872","406,25","1"
"jxparallel","5","263,9471","54,605","1246224","390,625","1"
