"implementation","run","exit_code","wall_ms","startup_to_first_paint_ms","interaction_ms","process_cpu_ms","normalized_cpu_percent","peak_working_set_bytes","average_working_set_bytes","peak_private_bytes","final_working_set_bytes","heap_delta_bytes","thread_delta"
"javafx","1","-1","1911.384","313.668","355.58","828.125","3.61","10469376","9972506","1826816","10469376","7509584","2"
"jxparallel-native","1","-1","1620.757","349.802","358.792","328.125","1.687","10481664","9789693","1777664","10481664","4429528","5"
"javafx","2","-1","1898.586","320.183","354.743","843.75","3.703","10502144","10042128","2281472","10502144","7506616","2"
"jxparallel-native","2","-1","1628.119","342.559","359.045","390.625","1.999","10477568","9616766","2183168","10477568","4429536","5"
"javafx","3","-1","1862.543","310.66","352.781","656.25","2.936","10469376","9882197","1765376","10469376","7233488","2"
"jxparallel-native","3","-1","1160.989","350.394","365.504","468.75","3.365","10481664","9415814","1773568","10481664","4429528","5"
"javafx","4","-1","1870.205","325.021","353.949","765.625","3.412","10510336","10000658","1859584","10510336","7689976","2"
"jxparallel-native","4","-1","1635.932","356.018","362.634","406.25","2.069","10493952","9626283","1835008","10493952","4194304","5"
"javafx","5","-1","1880.142","319.817","354.587","796.875","3.532","10469376","9988951","1769472","10469376","7831344","2"
"jxparallel-native","5","-1","1613.621","353.004","355.88","296.875","1.533","10514432","10037555","1859584","10514432","4194304","5"
