"Implementation","Run","StartupToFirstPaintMs","InteractionMs","CpuMs","HeapDeltaKb","PeakWorkingSetMb","PeakPrivateMemoryMb","ThreadDelta","WallTimeMs"
"traditional","1","508.69","357.06","765.62","2347.77","86.82","86.53","1","1772.89"
"jxparallel","1","360.53","361.1","562.5","1305.06","88.72","87.94","1","1655.37"
"traditional","2","318.6","355.61","515.62","2321.05","87.34","86.75","1","1567.38"
"jxparallel","2","567.09","361.32","781.25","1320.21","88.2","87.77","1","2042.54"
"traditional","3","408.01","357.47","750","2305.98","86.88","86.53","1","1652.55"
"jxparallel","3","581.51","360.79","906.25","1285.59","87.79","87.39","1","1843.77"
"traditional","4","400.23","354.76","625","2320.58","87.48","86.9","1","1867.71"
"jxparallel","4","376.37","359.81","640.62","1243.75","88.43","87.67","1","1629.81"
"traditional","5","369.64","359.46","656.25","2326.53","87.25","86.78","1","1602.25"
"jxparallel","5","454.65","358.04","703.12","1344.14","91.54","91.79","1","1883.22"
