"implementation","run","exit_code","wall_ms","startup_to_first_paint_ms","interaction_ms","process_cpu_ms","normalized_cpu_percent","peak_working_set_bytes","average_working_set_bytes","peak_private_bytes","final_working_set_bytes","heap_delta_bytes","thread_delta"
"javafx","1","-1","1955.627","319.716","353.486","671.875","2.863","10506240","10040180","1884160","10506240","7640560","2"
"jxparallel-native","1","-1","1707.019","396.723","368.717","421.875","2.06","10506240","10144285","1929216","10506240","10644360","6"
"javafx","2","-1","1863.27","316.157","353.26","843.75","3.774","10469376","10110008","1757184","10469376","7393352","2"
"jxparallel-native","2","-1","1709.841","394.532","367.81","421.875","2.056","10526720","10129217","2170880","10526720","10644360","6"
"javafx","3","-1","1860.383","305.592","353.332","671.875","3.01","10489856","10149069","1822720","10489856","7528048","2"
"jxparallel-native","3","-1","1691.826","400.031","364.305","468.75","2.309","10530816","10179425","1863680","10530816","10649792","6"
"javafx","4","-1","1850.315","312.404","353.829","796.875","3.589","10510336","10053913","1826816","10510336","7540968","2"
"jxparallel-native","4","-1","1189.557","400.256","360.36","484.375","3.393","11030528","9289728","2990080","10493952","10649792","6"
"javafx","5","-1","1916.804","311.846","353.739","750","3.261","10498048","9870491","1847296","10498048","7906664","2"
"jxparallel-native","5","-1","1177.09","394.548","357.487","546.875","3.872","10506240","9584094","2060288","10506240","10644360","6"
