"metric","javafx","jxparallel-native"
"exit_code","0","0"
"wall_ms","9035.1","7694.3"
"peak_working_set_bytes","260673536","167555072"
"avg_working_set_bytes","207934678","146205455"
"peak_private_bytes","524279808","422379520"
"peak_handles","562","534"
"process_start_ns","170952863264900","170961277619100"
"first_paint_ns","170953548899000","170961936135700"
"first_paint_uptime_ms","1494","847"
"stress_label_ns","11572500","30042100"
"stress_button_ns","19864800","11114800"
"stress_list_ns","30392400","15671600"
"stress_input_ns","179210300","8178100"
"stress_total_ns","238992200","66896700"
"stress_cpu_ns","968750000","218750000"
"stress_allocated_bytes","10104360","9727672"
"refresh_count","500","500"
"sustained_ns","5889521200","5905825400"
"sustained_cpu_ns","6375000000","1781250000"
"sustained_allocated_bytes","35942848","5473888"
"sustained_frames","600","600"
"sustained_fps_x100","10187","10159"
"frame_p50_us","9293","8669"
"frame_p95_us","16405","17169"
"frame_p99_us","17777","18248"
"frame_max_us","53191","21405"
"jank_frames","3","0"
"gc_count","2","1"
"gc_time_ms","11","5"
"heap_peak_bytes","52441600","20971520"
"heap_committed_peak_bytes","264241152","264241152"
"nonheap_peak_bytes","31701824","10386640"
"direct_peak_bytes","3709","91553"
"allocated_total_bytes","96207944","25618544"
"process_cpu_total_ns","10000000000","3140625000"
"classes_loaded","3772","1650"
"thread_count","15","11"
"thread_peak","15","11"
"heap_live_after_gc_bytes","11078712","2260456"
"startup_to_first_paint_ms","805","720.1"
