"implementation","run","exit_code","wall_ms","peak_working_set_bytes","avg_working_set_bytes","peak_private_bytes","peak_handles","process_start_ns","first_paint_ns","first_paint_uptime_ms","stress_label_ns","stress_button_ns","stress_list_ns","stress_input_ns","stress_total_ns","stress_cpu_ns","stress_allocated_bytes","refresh_count","sustained_ns","sustained_cpu_ns","sustained_allocated_bytes","sustained_frames","sustained_fps_x100","frame_p50_us","frame_p95_us","frame_p99_us","frame_max_us","jank_frames","gc_count","gc_time_ms","heap_peak_bytes","heap_committed_peak_bytes","nonheap_peak_bytes","direct_peak_bytes","allocated_total_bytes","process_cpu_total_ns","classes_loaded","thread_count","thread_peak","heap_live_after_gc_bytes","startup_to_first_paint_ms"
"javafx","1","0","23591","250544128","216495544","513204224","545","179427386526300","179428124720700","1447","6784100","13093600","17215100","132385400","169478300","812500000","10086112","500","19948041500","6250000000","39009176","600","3007","32013","33002","48430","543862","591","2","8","54440416","264241152","31836504","3917","99241136","9109375000","3772","15","15","11032576","738.2"
"jxparallel-native","1","0","26742.2","163360768","150700796","421130240","518","179450667522600","179452154439500","1565","12415600","6333700","11310900","5879700","35940000","218750000","9722872","500","23815659200","3187500000","8275024","600","2519","45128","46930","47496","63125","599","1","3","20971520","264241152","10470888","91553","28528136","4546875000","1638","11","11","2253184","1486.9"
"javafx","2","0","24017.4","248795136","211206670","518406144","543","179478091951200","179479045188000","1944","6825900","10309200","15732600","141344700","174212600","625000000","10084040","500","19915199500","5500000000","38992104","600","3012","32000","32989","48260","544146","590","2","9","54538752","264241152","31607008","3917","99252304","7765625000","3772","15","15","11069824","953.2"
"jxparallel-native","2","0","27690.8","163364864","152610788","421015552","513","179501466167700","179502390980600","1016","14429000","7015200","11473900","4149000","37067300","234375000","9722168","500","25413795000","2843750000","8493736","600","2360","44981","47047","47950","545112","599","1","4","20971520","264241152","10477728","91553","28660320","4437500000","1637","11","11","2253808","924.8"
"javafx","3","0","23923.5","246583296","211377780","502865920","543","179529873529200","179530811380800","1955","7445400","10033700","15218500","132450300","165148000","734375000","10083984","500","19942061600","6343750000","39013816","600","3008","31996","32924","48215","560210","596","2","8","54595072","264241152","31750992","3917","99268688","8718750000","3772","15","15","11087336","937.9"
"jxparallel-native","3","0","25348.1","162631680","151988201","421216256","514","179553216076000","179553717048700","598","12736700","9981700","13411100","6376800","42506300","187500000","9723128","500","23471470300","3031250000","8186744","600","2556","32195","46873","47527","543215","599","1","4","20971520","264241152","10521416","91553","28289216","4125000000","1638","11","11","2277240","501"
"javafx","4","0","22534.7","239497216","216850934","515993600","542","179578732095600","179579273838500","1245","7419400","8741300","19394300","137779200","173334400","843750000","10083880","500","19885878800","5718750000","39052768","600","3017","31994","32832","48043","544246","594","2","8","56455376","264241152","31787792","3917","99239336","8625000000","3772","15","15","11071136","541.7"
"jxparallel-native","4","0","25712","163823616","152213194","422346752","514","179601225064300","179601705973300","574","14256100","7451200","12422200","9902100","44031700","234375000","9725272","500","23807400900","3500000000","8238088","600","2520","44741","46896","47547","542291","599","1","4","20971520","264241152","10480208","91553","28340840","4546875000","1639","11","11","2271640","480.9"
"javafx","5","0","22946.5","249405440","222731523","518799360","542","179626927381200","179627535192500","1128","7088700","12325500","16279500","145201500","180895200","890625000","10088928","500","20408062600","6031250000","39090896","600","2940","32009","32960","48195","527819","594","2","9","56380768","264241152","31823120","3917","99278416","8953125000","3772","15","15","11073552","607.8"
"jxparallel-native","5","0","25688.8","163598336","152123392","437772288","513","179649923600900","179650880236100","1034","11750600","8697500","10680100","8299900","39428200","171875000","9723208","500","23394451300","3546875000","8197976","600","2564","44960","46906","47476","48160","599","1","3","20971520","264241152","10483672","91553","28367536","4984375000","1638","11","11","2260048","956.6"
