"metric","native-skia","native-nanovg"
"exit_code","0","0"
"wall_ms","6783.3","6738.3"
"peak_working_set_bytes","161329152","155582464"
"avg_working_set_bytes","137114743","128116555"
"peak_private_bytes","437080064","419741696"
"peak_handles","522","503"
"process_start_ns","240342619735900","240349446548500"
"renderer_nanovg","0","1"
"jvm_32bit","0","0"
"first_paint_ns","240343396689100","240350162395800"
"first_paint_uptime_ms","904","873"
"stress_label_warm_ns","3151200","3227400"
"stress_label_ns","12896400","12149000"
"stress_button_ns","7110600","6475100"
"stress_list_ns","8468100","9418900"
"stress_input_ns","3394900","4041500"
"stress_total_ns","32776800","37198500"
"stress_cpu_ns","218750000","281250000"
"stress_allocated_bytes","5102752","5100640"
"refresh_count","500","500"
"sustained_ns","4989815400","4985501800"
"sustained_cpu_ns","1796875000","1593750000"
"sustained_allocated_bytes","4557080","4026992"
"sustained_frames","600","600"
"sustained_fps_x100","12024","12034"
"frame_p50_us","8314","8292"
"frame_p95_us","10365","10447"
"frame_p99_us","11391","11832"
"frame_max_us","12512","12374"
"jank_frames","0","0"
"gc_count","0","0"
"gc_time_ms","0","0"
"heap_peak_bytes","20971520","18874368"
"heap_committed_peak_bytes","264241152","264241152"
"nonheap_peak_bytes","10313704","9556648"
"direct_peak_bytes","91553","91569"
"allocated_total_bytes","20041992","17868896"
"process_cpu_total_ns","3203125000","2953125000"
"classes_loaded","1607","1520"
"thread_count","11","10"
"thread_peak","11","10"
"heap_live_after_gc_bytes","2200320","2101952"
"startup_to_first_paint_ms","786.6","715.8"
