"implementation","run","exit_code","wall_ms","peak_working_set_bytes","avg_working_set_bytes","peak_private_bytes","peak_handles","process_start_ns","renderer_nanovg","jvm_32bit","first_paint_ns","first_paint_uptime_ms","stress_label_warm_ns","stress_label_ns","stress_button_ns","stress_list_ns","stress_input_ns","stress_total_ns","stress_cpu_ns","stress_allocated_bytes","refresh_count","sustained_ns","sustained_cpu_ns","sustained_allocated_bytes","sustained_frames","sustained_fps_x100","frame_p50_us","frame_p95_us","frame_p99_us","frame_max_us","jank_frames","gc_count","gc_time_ms","heap_peak_bytes","heap_committed_peak_bytes","nonheap_peak_bytes","direct_peak_bytes","allocated_total_bytes","process_cpu_total_ns","classes_loaded","thread_count","thread_peak","heap_live_after_gc_bytes","startup_to_first_paint_ms"
"native-skia","1","0","7507.1","159887360","133256623","438538240","522","240314607863200","0","0","240315895549100","1392","2112200","15106900","7110600","17178500","2513800","41909900","156250000","5100352","500","4993081200","1781250000","4529288","600","12016","8308","9726","10664","11662","0","0","0","20971520","264241152","10301816","91553","20087400","3250000000","1607","11","11","2200048","1287.7"
"native-nanovg","1","0","6771.7","155582464","128814701","438607872","512","240322155608100","1","0","240322934899600","898","3227400","11579000","6099200","12205800","4041500","33925700","312500000","5100640","500","4982288500","1890625000","4022728","600","12042","8327","9978","11320","12374","0","0","0","18874368","264241152","9645816","91569","17875712","3500000000","1520","10","10","2101208","779.3"
"native-skia","2","0","6783.3","160346112","137114743","437080064","523","240329029181200","0","0","240329815791400","917","3171000","12896400","6021800","10463600","3394900","32776800","218750000","5102752","500","4980311800","1937500000","4557240","600","12047","8322","10197","11243","11861","0","0","0","20971520","264241152","10347864","91553","20041992","3500000000","1607","11","11","2200952","786.6"
"native-nanovg","2","0","6703.9","149381120","127664153","418942976","498","240335906255300","1","0","240336554810200","744","3809900","16079400","7340100","8914900","6620400","38955000","281250000","5102664","500","5022666700","1593750000","4027152","600","11945","8304","10468","13231","17391","0","0","0","18874368","264241152","9556648","91569","17861840","2937500000","1520","10","10","2101680","648.6"
"native-skia","3","0","6756.5","161329152","138753006","437698560","522","240342619735900","0","0","240343396689100","878","3151200","12719000","7390200","8468100","7188400","35765800","218750000","5103064","500","4989065400","1531250000","4584128","600","12026","8315","10426","11987","12512","0","0","0","20971520","264241152","10341360","91553","20068552","2937500000","1607","11","11","2200320","777"
"native-nanovg","3","0","6738.3","156598272","130379729","419741696","509","240349446548500","1","0","240350162395800","831","4529300","8814900","5995800","7549400","3573900","25934000","296875000","5100328","500","5011444600","1359375000","4026992","600","11972","8292","10571","12180","15076","0","0","0","18874368","264241152","9460704","91569","17868896","3078125000","1519","10","10","2102216","715.8"
"native-skia","4","0","6735.7","162390016","138456210","422051840","530","240356220359200","0","0","240356951893700","856","3219100","13888700","4723000","7135300","3340300","29087400","171875000","5102752","500","4997599900","1906250000","4551488","600","12005","8298","10554","11539","14852","0","0","0","20971520","264241152","10313704","91553","20035888","3203125000","1607","11","11","2200512","731.5"
"native-nanovg","4","0","6768.1","151232512","128116555","437379072","503","240363093938700","1","0","240363800698600","873","3157700","16796400","6475100","9418900","10494800","43185300","250000000","5102664","500","4982652000","1265625000","4022432","600","12041","8268","10447","11832","12274","0","0","0","18874368","264241152","9609136","91569","17864064","2765625000","1520","10","10","2101952","706.8"
"native-skia","5","0","6794.2","163110912","134808292","421150720","517","240369938465800","0","0","240370725551100","904","3025900","10726400","7542500","8318500","5791100","32378600","234375000","5100352","500","4989815400","1796875000","4557080","600","12024","8314","10365","11391","14034","0","0","0","20971520","264241152","10145152","91553","20038592","3015625000","1606","11","11","2199848","787.1"
"native-nanovg","5","0","6719.6","155791360","127597397","417992704","498","240376714695800","1","0","240377477490700","875","2225800","12149000","6944200","14163000","3942200","37198500","218750000","5100264","500","4985501800","1656250000","4027152","600","12034","8283","10149","11402","12081","0","0","0","18874368","264241152","9486136","91569","17871792","2953125000","1519","10","10","2102128","762.8"
