"metric","javafx","jxparallel-native"
"exit_code","0","0"
"wall_ms","8184.3","6725.3"
"peak_working_set_bytes","262057984","161730560"
"avg_working_set_bytes","206084105","137636777"
"peak_private_bytes","526573568","422117376"
"peak_handles","568","522"
"process_start_ns","226735858487400","226743359700300"
"first_paint_ns","226736581696000","226744127354500"
"first_paint_uptime_ms","1568","888"
"stress_label_warm_ns","3338300","2588800"
"stress_label_ns","10267400","10667000"
"stress_button_ns","16722000","7698900"
"stress_list_ns","27170500","11284700"
"stress_input_ns","179021700","3736500"
"stress_total_ns","234793900","33218800"
"stress_cpu_ns","1031250000","171875000"
"stress_allocated_bytes","10402912","5512176"
"refresh_count","500","500"
"sustained_ns","5067101500","4988368600"
"sustained_cpu_ns","6218750000","1765625000"
"sustained_allocated_bytes","35791880","5008632"
"sustained_frames","600","600"
"sustained_fps_x100","11841","12027"
"frame_p50_us","8288","8288"
"frame_p95_us","14623","9998"
"frame_p99_us","15886","11494"
"frame_max_us","56915","13112"
"jank_frames","2","0"
"gc_count","2","0"
"gc_time_ms","11","0"
"heap_peak_bytes","52214568","20971520"
"heap_committed_peak_bytes","264241152","264241152"
"nonheap_peak_bytes","31847288","10319584"
"direct_peak_bytes","3917","91553"
"allocated_total_bytes","96397976","20900824"
"process_cpu_total_ns","10093750000","3109375000"
"classes_loaded","3776","1609"
"thread_count","15","11"
"thread_peak","15","11"
"heap_live_after_gc_bytes","11081560","2199920"
"startup_to_first_paint_ms","868.4","764.8"
"renderer_nanovg",,"0"
"jvm_32bit",,"0"
