"metric","javafx","jxparallel-native"
"exit_code","0","0"
"wall_ms","7074.3","6321.9"
"peak_working_set_bytes","102047744","93663232"
"avg_working_set_bytes","86981593","84734446"
"peak_private_bytes","102170624","67719168"
"peak_handles","509","457"
"process_start_ns","216655099552700","216661929912200"
"first_paint_ns","216655508086900","216662479878200"
"first_paint_uptime_ms","777","609"
"stress_label_ns","13776800","30842200"
"stress_button_ns","11445600","7761900"
"stress_list_ns","10598200","10826500"
"stress_input_ns","97818300","6444200"
"stress_total_ns","131307600","53650300"
"stress_cpu_ns","359375000","78125000"
"stress_allocated_bytes","7523784","9000080"
"refresh_count","500","500"
"sustained_ns","5074577000","5062261900"
"sustained_cpu_ns","2343750000","890625000"
"sustained_allocated_bytes","25678328","4050416"
"sustained_frames","600","600"
"sustained_fps_x100","11823","11852"
"frame_p50_us","8337","8349"
"frame_p95_us","15144","10503"
"frame_p99_us","16286","14177"
"frame_max_us","30395","40229"
"jank_frames","1","1"
"gc_count","12","5"
"gc_time_ms","26","8"
"heap_peak_bytes","11594352","6625656"
"heap_committed_peak_bytes","16252928","16252928"
"nonheap_peak_bytes","12666280","6579360"
"direct_peak_bytes","2621","82656"
"allocated_total_bytes","57754696","22696080"
"process_cpu_total_ns","3625000000","1609375000"
"classes_loaded","2808","1236"
"thread_count","12","8"
"thread_peak","12","8"
"heap_live_after_gc_bytes","7945752","2212720"
"startup_to_first_paint_ms","399.5","520"
"renderer_nanovg",,"1"
"jvm_32bit",,"1"
