"implementation","run","exit_code","wall_ms","peak_working_set_bytes","avg_working_set_bytes","peak_private_bytes","peak_handles","process_start_ns","first_paint_ns","first_paint_uptime_ms","stress_label_ns","stress_button_ns","stress_list_ns","stress_input_ns","stress_total_ns","stress_cpu_ns","stress_allocated_bytes","refresh_count","sustained_ns","sustained_cpu_ns","sustained_allocated_bytes","sustained_frames","sustained_fps_x100","frame_p50_us","frame_p95_us","frame_p99_us","frame_max_us","jank_frames","gc_count","gc_time_ms","heap_peak_bytes","heap_committed_peak_bytes","nonheap_peak_bytes","direct_peak_bytes","allocated_total_bytes","process_cpu_total_ns","classes_loaded","thread_count","thread_peak","heap_live_after_gc_bytes","startup_to_first_paint_ms","renderer_nanovg","jvm_32bit"
"javafx","1","0","7712.3","101806080","84200974","102453248","509","216627175947000","216627854318600","1275","15798500","11395700","14856300","137064500","179115200","421875000","7542064","500","5109465700","3187500000","25483768","600","11742","8252","15233","16974","30395","3","12","34","11617376","16252928","12611944","2621","57746976","4687500000","2797","12","12","7936048","678.4",,
"jxparallel-native","1","0","6643.7","93679616","84734446","67719168","457","216634546242400","216635216201000","778","46310200","27121500","34359600","11819300","119610800","46875000","9000080","500","5159354700","1078125000","4050416","600","11629","8369","10503","14613","83037","3","5","9","6626296","16252928","6579360","82656","22696080","1921875000","1236","8","8","2212720","670","1","1"
"javafx","2","0","7110.6","101986304","86944355","102047744","509","216641561621300","216641953997700","777","13776800","15175200","12423500","113493200","154868900","359375000","7454232","500","5074577000","2343750000","25663096","600","11823","8499","15172","16286","24524","0","12","29","11594352","16252928","12676376","2621","57719672","3625000000","2808","12","12","7945240","392.4",,
"jxparallel-native","2","0","6304","93663232","84198977","67735552","457","216648448032700","216648960473000","609","30842200","5856700","12316000","4635300","53650300","78125000","9018160","500","5062261900","890625000","4043648","600","11852","8286","10872","14177","40229","1","5","7","6625552","16252928","6579360","82656","22705456","1593750000","1236","8","8","2212720","512.4","1","1"
"javafx","3","0","7070","102088704","87183246","102170624","509","216655099552700","216655508086900","789","11285400","11445600","10598200","95192600","128522000","312500000","7535032","500","5042299200","2234375000","25680512","600","11899","8337","15014","16462","33169","2","12","26","11561232","16252928","12667312","2621","57754696","3453125000","2808","12","12","7947680","408.5",,
"jxparallel-native","3","0","6324.2","93642752","84456805","67674112","457","216661929912200","216662479878200","650","32918900","13651500","10150400","6444200","63165100","93750000","9005992","500","5024321900","843750000","4053336","600","11941","8282","10508","11251","32217","1","5","7","6614712","16252928","6579640","82656","22704376","1609375000","1236","8","8","2200416","550","1","1"
"javafx","4","0","7006.9","102129664","88097259","102141952","509","216668559316100","216668958801200","765","10852500","11037300","6577300","97818300","126285600","359375000","7523784","500","5060977500","2046875000","25706696","600","11855","8292","15144","16282","35021","1","12","26","11614704","16252928","12663320","2621","57832440","3171875000","2808","12","12","7945752","399.5",,
"jxparallel-native","4","0","6295.6","93712384","85315998","67883008","457","216675396457700","216675902847400","590","20532200","4949700","10826500","5341600","41650100","78125000","8992752","500","5044033800","796875000","4043136","600","11895","8349","10216","12197","26301","1","5","8","6625656","16252928","6578928","82656","22679888","1546875000","1236","8","8","2221360","506.4","1","1"
"javafx","5","0","7074.3","102047744","86981593","102469632","509","216682023236200","216682414118800","747","14096300","12681700","8155400","96373900","131307600","359375000","7494856","500","5083809400","2453125000","25678328","600","11802","8438","15052","15976","26058","1","12","26","11552296","16252928","12666280","2621","57884592","3765625000","2808","12","12","7947408","390.9",,
"jxparallel-native","5","0","6321.9","93630464","85498201","67715072","457","216688858259600","216689378287800","609","24088100","7761900","10492100","9746000","52088300","31250000","8994688","500","5098513800","953125000","4050536","600","11768","8376","10407","14907","42614","3","5","9","6626384","16252928","6588848","82656","22689400","1656250000","1236","8","8","2212720","520","1","1"
