"implementation","run","exit_code","wall_ms","peak_working_set_bytes","avg_working_set_bytes","peak_private_bytes","peak_handles","process_start_ns","first_paint_ns","first_paint_uptime_ms","stress_label_warm_ns","stress_label_ns","stress_button_ns","stress_list_ns","stress_input_ns","stress_total_ns","stress_cpu_ns","stress_allocated_bytes","refresh_count","sustained_ns","sustained_cpu_ns","sustained_allocated_bytes","sustained_frames","sustained_fps_x100","frame_p50_us","frame_p95_us","frame_p99_us","frame_max_us","jank_frames","gc_count","gc_time_ms","heap_peak_bytes","heap_committed_peak_bytes","nonheap_peak_bytes","direct_peak_bytes","allocated_total_bytes","process_cpu_total_ns","classes_loaded","thread_count","thread_peak","heap_live_after_gc_bytes","startup_to_first_paint_ms","renderer_nanovg","jvm_32bit"
"javafx","1","0","8403.2","102109184","80650721","102105088","508","226823252767900","226824097539300","1797","2878300","12032100","14050600","13425100","128068700","167576700","406250000","7901776","500","5083569100","2562500000","25713936","600","11802","8270","14949","16226","37952","2","12","33","11558608","16252928","12671760","2621","58288584","4375000000","2811","12","12","7946752","844.8",,
"jxparallel-native","1","0","7199.1","93712384","81432328","67682304","457","226831072241500","226832283119600","1417","1258500","10279900","5680600","5338200","3864700","25163600","31250000","5279704","500","5022603700","859375000","3694864","600","11945","8309","10245","12399","23642","0","4","8","6759032","16252928","6599768","82656","18626208","1812500000","1243","8","8","2220504","1210.9","1","1"
"javafx","2","0","7404.4","102035456","85360682","102092800","509","226838587384200","226839073619600","926","2568200","11739100","16896400","9346100","113042600","151024300","359375000","7751176","500","5063721300","2578125000","25610832","600","11848","8227","15289","16258","29340","1","12","31","11778416","16252928","12668448","2621","58063960","3921875000","2811","12","12","7947912","486.2",,
"jxparallel-native","2","0","6524.3","93978624","82706558","67809280","457","226845752434800","226846378811800","740","1295100","8119500","6089300","6046800","3366000","23621700","62500000","5286080","500","5036417000","953125000","3695328","600","11913","8318","10673","13488","24174","0","4","7","6758976","16252928","6601840","82656","18626472","1703125000","1243","8","8","2207440","626.4","1","1"
"javafx","3","0","7436.7","102146048","86121510","102260736","509","226852690216000","226853132304900","850","3222300","11511900","11966600","12158700","119819700","155457100","265625000","7685576","500","5060808700","2453125000","25710872","600","11855","8372","14987","16295","25258","1","12","31","11825360","16252928","12682616","2621","58106080","3640625000","2811","12","12","7951536","442.1",,
"jxparallel-native","3","0","6498","93933568","83259955","67870720","457","226859863859500","226860461592100","716","827600","11785500","6560000","5178800","3358800","26883200","46875000","5279504","500","5017367100","828125000","3694944","600","11958","8296","10456","12106","21748","0","4","9","6752912","16252928","6601712","82656","18619336","1531250000","1243","8","8","2207440","597.7","1","1"
"javafx","4","0","7301.8","102109184","86522033","102412288","508","226866687995700","226867126151800","848","2875900","10473000","12055700","7273900","117193800","146996600","312500000","7784816","500","5046832000","2625000000","25723368","600","11888","8220","14991","16473","31087","1","12","32","11550016","16252928","12669976","2621","58118304","3875000000","2811","12","12","7951320","438.2",,
"jxparallel-native","4","0","6655.7","93884416","83232744","67809280","457","226873855636700","226874509762500","778","1275900","10638900","5440900","4956700","4121900","25158600","15625000","5259216","500","5020990300","781250000","3694976","600","11949","8294","10354","11579","24568","0","4","9","6758952","16252928","6601712","82656","18599784","1500000000","1243","8","8","2207440","654.1","1","1"
"javafx","5","0","7428.9","102076416","86375006","101896192","508","226880793074600","226881289049300","927","2322400","10302400","9267500","6589500","99222400","125382000","296875000","7860584","500","5039722400","2406250000","25678144","600","11905","8181","14992","16226","32752","1","12","32","11553744","16252928","12668080","2621","58286016","3593750000","2811","12","12","7949888","496",,
"jxparallel-native","5","0","6617.7","93851648","82743941","67846144","457","226888010372000","226888679577500","810","957800","10876000","6209700","5606100","6277700","28969700","93750000","5286136","500","5029313300","625000000","3695328","600","11930","8293","10624","12373","21060","0","4","7","6758936","16252928","6613648","82656","18627232","1562500000","1243","8","8","2207440","669.2","1","1"
"javafx","6","0","7461.2","102043648","84938243","102080512","508","226895075204500","226895563172300","1016","1987800","11409700","10899200","17318800","112939400","152567300","390625000","7761176","500","5069757100","2500000000","25666272","600","11834","8319","15051","16304","29650","1","12","30","11650936","16252928","12671040","2621","58057640","3968750000","2811","12","12","7951168","488",,
"jxparallel-native","6","0","6583.8","93884416","82446805","67973120","457","226902196935800","226902856258600","761","1143700","12062100","6821100","6211300","5926900","31021500","78125000","5286256","500","5034331500","968750000","3695328","600","11918","8358","11055","13579","21955","0","4","6","6752864","16252928","6599808","82656","18626824","1796875000","1243","8","8","2207440","659.3","1","1"
"javafx","7","0","7349","101969920","86428905","102547456","509","226909120104900","226909591161300","834","1683800","12762300","10297000","9453800","101821000","134334300","390625000","7792936","500","5097313200","2343750000","25681320","600","11770","8286","15209","16267","39219","2","12","28","11571384","16252928","12668752","2621","58202328","3562500000","2811","12","12","7948568","471.1",,
"jxparallel-native","7","0","6636.3","93839360","82694362","67842048","457","226916264973300","226916910468500","762","912200","12519700","5684000","5843600","6393900","30441300","31250000","5301504","500","5033682500","734375000","3710816","600","11919","8318","10431","13034","23664","0","4","9","6758912","16252928","6603760","82656","18588232","1484375000","1243","8","8","2207232","645.5","1","1"
"javafx","8","0","7486.3","102182912","85456805","102465536","508","226923283462800","226923808842300","912","2083700","14350800","9045600","8881300","117438700","149716600","328125000","7856672","500","5073826500","2484375000","25668152","600","11825","8224","15241","16458","32758","1","12","33","11550752","16252928","12670728","2621","58162424","3750000000","2811","12","12","7948376","525.4",,
"jxparallel-native","8","0","6634.1","93925376","82187947","67874816","457","226930525353700","226931212859700","826","817100","9812500","6063100","5422100","4102100","25400100","78125000","5286056","500","5013674900","953125000","3694976","600","11967","8302","10328","11915","21542","0","4","8","6752896","16252928","6601816","82656","18626864","1734375000","1243","8","8","2207472","687.5","1","1"
"javafx","9","0","7399.1","102121472","86011328","102002688","509","226937497557900","226937940094500","855","5769800","10476500","9921200","11840100","109207000","141445000","328125000","7761144","500","5088837800","2218750000","25717560","600","11790","8410","15187","16279","32318","1","12","34","11669808","16252928","12682896","2621","58165160","3593750000","2811","12","12","7949568","442.5",,
"jxparallel-native","9","0","6612.5","93954048","83152149","68042752","457","226944711181100","226945360307900","760","929500","7661700","5281200","3752600","3357400","20053000","46875000","5289632","500","5040782700","1000000000","3703296","600","11902","8308","10435","13445","25184","1","4","9","6758896","16252928","6601904","82656","18691488","1765625000","1243","8","8","2202184","649.1","1","1"
"javafx","10","0","7392.6","102129664","85679668","102117376","508","226951594527100","226952059587500","854","4040800","11010300","14563900","10196300","110392200","146162900","375000000","7800544","500","5094788100","2687500000","25706744","600","11776","8371","15427","16630","27844","2","12","28","11804848","16252928","12667936","2621","58207744","3937500000","2811","12","12","7950944","465.1",,
"jxparallel-native","10","0","6555.7","93888512","84311747","67887104","457","226958789187100","226959403297700","736","621500","7560700","6407800","4602000","4453000","23023600","15625000","5286136","500","5024512400","796875000","3694976","600","11941","8330","10473","11957","23743","0","4","6","6758936","16252928","6601712","82656","18626176","1515625000","1243","8","8","2220440","614.1","1","1"
