"implementation","run","refresh_count","wall_ms","startup_to_first_paint_ms","stress_total_ms","label_refresh_ms","button_toggle_ms","list_refresh_ms","input_refresh_ms","heap_delta_bytes","process_cpu_ms","peak_working_set_bytes","avg_working_set_bytes","peak_private_bytes","thread_count"
"javafx","1","500","2143.872","318.441","487.312","12.831","18.447","421.193","34.841","8621984","812.5","142803968","136421530","47808512","14"
"jxparallel-native","1","500","1892.114","351.883","291.447","3.218","4.762","271.832","11.635","3981216","437.5","144179200","138024106","49512448","9"
"javafx","2","500","2128.543","312.773","481.334","13.104","19.012","414.772","34.446","8594832","828.125","141983744","135988123","47255552","14"
"jxparallel-native","2","500","1871.228","348.219","288.913","3.341","4.891","268.947","11.734","3954688","453.125","143851520","137612844","49094656","9"
"javafx","3","500","2107.916","309.887","479.108","12.993","18.834","412.537","34.744","8734128","796.875","141721600","135412819","47022080","14"
"jxparallel-native","3","500","1884.772","354.102","293.114","3.187","4.719","273.418","11.790","4012544","468.75","144408576","138219930","49348608","9"
"javafx","4","500","2156.341","321.654","492.771","13.218","19.341","425.444","34.768","8812096","843.75","143360000","136814950","48046080","14"
"jxparallel-native","4","500","1862.009","345.776","285.228","3.164","4.688","266.001","11.375","3927552","421.875","143618048","137411780","48939008","9"
"javafx","5","500","2118.227","315.208","483.917","13.076","18.921","417.044","34.876","8678272","812.5","142348288","136104397","47611904","14"
"jxparallel-native","5","500","1878.443","352.441","290.198","3.291","4.804","270.519","11.584","3998720","453.125","144097280","138131174","49283072","9"
